year,run,addiction_rate,mean_debt,pct_over_50
1996,9,0.213,40.39409175781401,0.003
1997,9,0.294,72.67869387804377,0.004
1998,9,0.362,122.2375866179117,0.019
1999,9,0.431,187.2536187216656,0.046
2000,9,0.497,270.0667443856181,0.074
2001,9,0.538,367.3991965291613,0.117
2002,9,0.574,472.68156407123644,0.148
2003,9,0.607,597.2266216257182,0.207
2004,9,0.639,744.0264418230695,0.256
2005,9,0.672,897.3759328437001,0.318
2006,9,0.693,1068.0765599444983,0.372
2007,9,0.723,1254.269981727641,0.42
2008,9,0.74,1457.8675453327974,0.457
2009,9,0.773,1680.2084612964832,0.497
2010,9,0.792,1911.7034605710926,0.549
2011,9,0.815,2167.6483568470253,0.585
2012,9,0.833,2437.7245078194705,0.621
2013,9,0.853,2736.14754103747,0.651
2014,9,0.865,3040.108120142113,0.677
2015,9,0.88,3360.6720087026592,0.705
2016,9,0.889,3687.380587802449,0.725
2017,9,0.899,4039.1607324626057,0.75
2018,9,0.912,4391.182747508616,0.77
2019,9,0.922,4761.069019553911,0.789
2020,9,0.928,5134.025992380915,0.804
2021,9,0.934,5520.988759771327,0.814
2022,9,0.943,5905.875609495469,0.824
2023,9,0.946,6304.017743636107,0.834
2024,9,0.95,6698.751986348365,0.84
2025,9,0.953,7096.756433249798,0.849
1995,10,0.105,12.831122729391199,0.0
1996,10,0.198,39.74482560167194,0.0
1997,10,0.287,74.49342362890306,0.007
1998,10,0.35,126.01781038748096,0.021
1999,10,0.414,189.25241371645498,0.044
2000,10,0.464,266.59205481578687,0.07
2001,10,0.514,358.67505012147484,0.114
2002,10,0.545,467.4874886362457,0.158
2003,10,0.573,579.348427309498,0.207
2004,10,0.608,711.3755767412416,0.266
2005,10,0.634,865.6888078111587,0.319
2006,10,0.658,1030.1291860904153,0.363
2007,10,0.693,1211.3982322392542,0.399
2008,10,0.72,1412.2738203508775,0.445
2009,10,0.74,1630.9508024387314,0.48
2010,10,0.765,1860.6226161743073,0.531
2011,10,0.779,2106.5274016091553,0.561
2012,10,0.797,2371.8106266782142,0.583
2013,10,0.816,2654.2689751176235,0.609
2014,10,0.831,2940.4305761349424,0.637
2015,10,0.844,3245.622564524595,0.661
2016,10,0.861,3570.8877839960533,0.689
2017,10,0.876,3895.2910534845237,0.708
2018,10,0.9,4250.743287442581,0.73
2019,10,0.908,4614.687656670243,0.744
2020,10,0.913,4975.941854152783,0.764
2021,10,0.925,5364.878754325947,0.777
2022,10,0.933,5737.398429335108,0.791
2023,10,0.943,6119.959920529662,0.807
2024,10,0.951,6518.105305190383,0.819
2025,10,0.952,6906.554967469042,0.827
1995,11,0.095,13.93929925292019,0.0
1996,11,0.186,45.12622505696331,0.004
1997,11,0.257,76.68019148703597,0.013
1998,11,0.342,125.42729756561623,0.03
1999,11,0.405,187.81571795509115,0.054
2000,11,0.458,263.92171900316674,0.082
2001,11,0.51,354.8181397843863,0.117
2002,11,0.547,469.20807822737515,0.158
2003,11,0.58,585.3721062911716,0.196
2004,11,0.624,723.6149899936847,0.239
2005,11,0.651,881.1890588658501,0.304
2006,11,0.673,1041.2821905784147,0.366
2007,11,0.703,1219.7688281655785,0.402
2008,11,0.729,1411.645544684815,0.449
2009,11,0.755,1630.1456880379542,0.481
2010,11,0.78,1864.9386539944828,0.526
2011,11,0.797,2112.7371619829337,0.554
2012,11,0.808,2373.047088821808,0.584
2013,11,0.825,2649.626020503774,0.617
2014,11,0.844,2936.7444054961843,0.64
2015,11,0.859,3235.68369920517,0.661
2016,11,0.868,3558.121052476653,0.69
2017,11,0.884,3896.495840509301,0.717
2018,11,0.896,4248.656438485092,0.736
2019,11,0.912,4607.303519497471,0.752
2020,11,0.924,4967.247349371087,0.78
2021,11,0.932,5354.668029223928,0.788
2022,11,0.941,5738.269740707154,0.799
2023,11,0.948,6132.596424682011,0.813
2024,11,0.957,6507.310382901689,0.827
2025,11,0.962,6902.012951727311,0.837
1995,12,0.112,14.908671289990398,0.0
1996,12,0.206,41.64027777436051,0.003
1997,12,0.289,78.78508791883296,0.007
1998,12,0.349,128.7051985502754,0.022
1999,12,0.403,190.08809582506618,0.045
2000,12,0.457,268.1949068807042,0.077
2001,12,0.509,353.62028242178565,0.121
2002,12,0.559,460.94603976297867,0.16
2003,12,0.597,590.7787695600682,0.213
2004,12,0.625,736.2198871810264,0.264
2005,12,0.654,889.5819849660646,0.312
2006,12,0.679,1054.9603300219408,0.36
2007,12,0.706,1237.0432755560573,0.394
2008,12,0.728,1425.221082610791,0.448
2009,12,0.749,1646.3044024895253,0.486
2010,12,0.77,1875.2710560935705,0.524
2011,12,0.792,2115.2358983860695,0.559
2012,12,0.809,2386.269475504579,0.6
2013,12,0.822,2664.5216783705737,0.624
2014,12,0.836,2956.970375303047,0.653
2015,12,0.848,3262.9334960596557,0.682
2016,12,0.868,3595.6215447108393,0.71
2017,12,0.884,3944.250335398065,0.73
2018,12,0.894,4295.403210065363,0.744
2019,12,0.901,4657.7235391567965,0.762
2020,12,0.917,5025.750325613668,0.768
2021,12,0.928,5408.690446216639,0.779
2022,12,0.935,5777.579877392614,0.791
2023,12,0.944,6168.699412980172,0.809
2024,12,0.954,6555.641049589696,0.815
2025,12,0.958,6949.824857735238,0.828
1995,13,0.116,13.46054167678397,0.0
1996,13,0.21,39.54321458044024,0.001
1997,13,0.277,77.45943716803126,0.009
1998,13,0.349,126.05502083348885,0.022
1999,13,0.408,185.60975756257292,0.045
2000,13,0.464,254.32894973684253,0.065
2001,13,0.511,350.3589399771611,0.114
2002,13,0.547,450.1445416071982,0.156
2003,13,0.586,573.9404457191646,0.207
2004,13,0.63,701.2812545768284,0.256
2005,13,0.653,853.3011266074903,0.309
2006,13,0.681,1015.2300781238929,0.353
2007,13,0.707,1192.2481340121474,0.394
2008,13,0.729,1380.7344877099545,0.435
2009,13,0.75,1602.1258716137256,0.482
2010,13,0.764,1834.2188511383463,0.518
2011,13,0.786,2085.289071839345,0.557
2012,13,0.801,2355.460373955818,0.597
2013,13,0.812,2651.4981210314004,0.632
2014,13,0.83,2941.17998550455,0.658
2015,13,0.846,3247.8199676759177,0.675
2016,13,0.856,3573.09519924179,0.695
2017,13,0.874,3907.8058544884793,0.713
2018,13,0.885,4253.490649823917,0.734
2019,13,0.894,4619.541734964805,0.75
2020,13,0.903,4976.15107405236,0.762
2021,13,0.917,5342.189296948718,0.778
2022,13,0.925,5718.085040194327,0.79
2023,13,0.934,6111.538429973195,0.808
2024,13,0.939,6495.501452740673,0.814
2025,13,0.945,6891.949594968699,0.826
1995,14,0.107,12.569874442490564,0.0
1996,14,0.183,37.96792545691607,0.001
1997,14,0.263,71.36137338936153,0.011
1998,14,0.336,117.89596857184928,0.018
1999,14,0.391,175.70159770978032,0.035
2000,14,0.443,245.3942419284859,0.065
2001,14,0.502,332.5460834670683,0.103
2002,14,0.538,423.63828843553284,0.137
2003,14,0.581,534.7510727270653,0.194
2004,14,0.61,662.6002987322602,0.236
2005,14,0.645,805.0823189159478,0.289
2006,14,0.67,966.1919952066125,0.326
2007,14,0.699,1148.0263029447651,0.379
2008,14,0.729,1348.9816868229648,0.432
2009,14,0.755,1561.9013669501883,0.467
2010,14,0.78,1791.0465194756339,0.511
2011,14,0.797,2043.183398718446,0.547
2012,14,0.819,2301.755927319243,0.573
2013,14,0.837,2574.4374934630355,0.604
2014,14,0.854,2852.986217232435,0.641
2015,14,0.867,3155.530358571065,0.671
2016,14,0.875,3477.364506745297,0.691
2017,14,0.885,3807.014626100528,0.71
2018,14,0.901,4148.127742274819,0.729
2019,14,0.914,4515.545694508888,0.744
2020,14,0.925,4860.489396562854,0.766
2021,14,0.935,5233.782225430675,0.78
2022,14,0.942,5602.966263994875,0.798
2023,14,0.947,5986.847468774586,0.812
2024,14,0.955,6375.461516884683,0.822
2025,14,0.958,6745.379296276209,0.831
1995,15,0.09,11.909780825788898,0.0
1996,15,0.184,37.019524466852445,0.003
1997,15,0.266,73.8580647789402,0.008
1998,15,0.339,123.56022514785485,0.021
1999,15,0.398,183.73628361596937,0.045
2000,15,0.454,256.1109462915693,0.066
2001,15,0.509,351.6521521555807,0.105
2002,15,0.555,449.2652653106112,0.151
2003,15,0.586,575.7557918201469,0.198
2004,15,0.617,707.7360466753829,0.244
2005,15,0.649,847.6092346442712,0.3
2006,15,0.689,1018.5170925392499,0.351
2007,15,0.716,1194.71484942385,0.406
2008,15,0.743,1399.8045670814715,0.447
2009,15,0.77,1622.4191168994,0.489
2010,15,0.791,1855.8431807101144,0.53
2011,15,0.812,2106.6594108788413,0.567
2012,15,0.821,2380.4841208302546,0.594
2013,15,0.835,2654.7817233336837,0.627
2014,15,0.852,2945.463139206739,0.656
2015,15,0.859,3247.6870510681847,0.68
2016,15,0.87,3560.1923133191226,0.707
2017,15,0.882,3891.7668392530586,0.731
2018,15,0.895,4238.32927388167,0.749
2019,15,0.902,4580.886161712007,0.767
2020,15,0.91,4946.5313658308605,0.779
2021,15,0.919,5310.2261648509875,0.784
2022,15,0.926,5684.048959210366,0.794
2023,15,0.937,6051.609682676404,0.806
2024,15,0.944,6439.920017862687,0.822
2025,15,0.948,6816.964003500564,0.83
1995,16,0.097,11.679566018185996,0.0
1996,16,0.185,31.162599171437208,0.004
1997,16,0.265,61.299294998418844,0.007
1998,16,0.328,113.60733244233886,0.018
1999,16,0.382,179.42774008785526,0.037
2000,16,0.436,252.53827802609973,0.075
2001,16,0.486,338.2590600050456,0.104
2002,16,0.524,434.34265190251193,0.148
2003,16,0.563,555.3849279513445,0.194
2004,16,0.601,681.9869259667358,0.24
2005,16,0.638,827.2242637330984,0.29
2006,16,0.664,986.6520743397434,0.341
2007,16,0.69,1159.8739916231393,0.368
2008,16,0.711,1359.3248246404235,0.432
2009,16,0.735,1574.1893191408492,0.471
2010,16,0.762,1800.937644399239,0.512
2011,16,0.777,2037.741574020196,0.559
2012,16,0.795,2297.411403954856,0.582
2013,16,0.821,2574.1180031107333,0.611
2014,16,0.837,2863.617212567176,0.639
2015,16,0.862,3178.4756077280986,0.664
2016,16,0.876,3495.5053890453214,0.681
2017,16,0.888,3831.2583683438393,0.698
2018,16,0.896,4168.7861958052545,0.727
2019,16,0.91,4529.904906740394,0.742
2020,16,0.919,4894.567645162314,0.77
2021,16,0.928,5270.764835700203,0.786
2022,16,0.934,5651.309377031415,0.796
2023,16,0.939,6029.8165054890305,0.802
2024,16,0.945,6417.904402897176,0.812
2025,16,0.953,6807.722658922663,0.827
1995,17,0.105,15.880373939827951,0.0
1996,17,0.184,43.38126693311476,0.004
1997,17,0.264,75.87716575519347,0.014
